id	type	name	displayName
00246c4c-950f-45e4-a17d-296d21155e87	UpgradeSO	GatherSpace	Gather Space
0049189e-7c6f-483f-a86b-ca6c18bedb2d	KeyBindingVariable	GoToLearnSpells	Go To Learn Spells
00504a78-d328-4e4b-8380-16d741fa76ed	PassiveAbilitySO	ElementalAffinityTokenPassive	Mana Affinity
0058a704-e359-44dd-b606-1a6b500893ce	ValueModifierVariable	ScalingWorkshopBase
006061be-6356-4cfe-8b38-585b750a492e	StructureSO	Constitution	Constitution
008ccaa9-da26-4b55-95a5-5bc5df9c62f0	CraftingRecipeSO	CraftScrollEcho	Echoing
00943218-d660-4b85-96e3-074221eb5c3e	ResourceSO	ForceBark	Force Bark
00979ba6-c5cc-4246-a840-c69e55f6c1b5	StructureSO	Starlight	Starlight
00b8083f-fed8-440a-8683-7694b7a71e01	AttributeSO	Speed	Speed
00be3942-b91b-4998-9479-68acee369ce6	ViewSO	TimeChallengesActive	Active
00c2f883-cd16-425a-abd9-018513ad8d48	AttributeSO	DrainRate	Drain Rate
00f9cd5d-a9ba-48a9-9f27-42f5f59b871e	ResearchVariable	SelectedResearch
01167793-121e-4265-93e5-5be520b48409	ChallengeSO	SpecializationStorm	Specialization: Storm
01273beb-c908-491c-9351-368686eb20b3	GlyphSO	Fortunate	Fortunate
01569613-9272-427c-a3ef-16713579cfcf	AttributeSO	AlertResearch	Research Available
016e3871-380a-43d4-af54-c413312bb23c	StructureSO	Reinforced	Reinforced
0179aede-7a95-46b1-aec3-354a67db9cdc	DoubleVariable	CraftingPower	Crafting Power
01854a14-050a-4e5b-8e7c-ef495b29e47c	RitualVariable	RitualResults
01a6d158-0fcd-40bc-a3a2-8f748086201d	TimeRuneSO	TimeMagicPersist	Magic Persist
01a74875-9fe2-4edf-9ed6-31391ea2fc15	AttributeSO	LearnSpell	Learn Spell
01ae245e-21b8-4034-8e95-e0a191145e43	AnimationEffectSO	OrbAnim2
01d1f01f-d265-4035-a763-ed771285c52d	CharacterAttributeSO	MaxHealth	Max Health
01d2a188-55ca-4240-af75-311528d2241e	HarvestElementListVariable	GardenHarvestElements
01efbb1b-ca5a-4b43-869a-f3627c822ef8	BoolVariable	CanSave
020249bf-53e3-443a-afeb-76f4437c692f	ValueModifierVariable	ScalingBase
