symbol	id	name	type
ActiveActionables	2c4825f4-9869-41fc-84df-301638a097a5	ActiveActionables	ActionableListVariable
ActiveConcepts	9121924d-2692-428b-9599-165224ccd899	ActiveConcepts	AlchemyInstanceListVariable
ActivePlotNodeActions	70871e86-100b-4ae0-ba9b-fc96e09b7e1f	ActivePlotNodeActions	PlotNodeActionInstanceListVariable
ActiveScribeInstances	b557060a-e109-40de-9a7d-f2b02bc9766d	ActiveScribeInstances	CraftingInstanceListVariable
ActiveSpells	1614158d-6485-4995-90d0-79cc6b4dced4	ActiveSpells	SpellListVariable
Alchemy	f9c93e42-e9e8-4fe3-a1f3-5aec5430b5c2	Alchemy	AlchemyTypeSO
AlchemyScreen	3ae45ec0-4449-4903-b3d0-b5182e03dca3	ScreenAlchemy	ViewSO
AutoScribeInstances	f6cb65a8-a959-477c-9293-ff66f646c95d	AutoScribeInstances	CraftingInstanceListVariable
Brewing	d2947f69-d989-465d-8159-204285ed57be	Brewing	AlchemyTypeSO
BulkDevelopment	0ed119bf-0449-4d64-9989-1a3f68c7b8a2	BulkDevelopment	IntVariable
CompletionScalingWeight	be446180-242f-40d2-910e-91e735fc20ad	SpecialScaling	ScalingWeightSO
ConceptRecipes	c8ff8e01-c042-49c2-86a2-e374f82c280c	ConceptRecipes	AlchemyRecipeListVariable
Conceptualization	69842862-dfce-4a9e-a73b-f757c72e49dc	Conceptualization	AlchemyTypeSO
ConsumableRelicType	5d27b76e-eed3-49cc-a069-b9106000ede4	Relic	ConsumableTypeSO
ConsumableScrollType	70b36536-64e5-4f70-ad6f-af5787d719cc	ScrollConsumable	ConsumableTypeSO
CraftScrollAdvancement	a4a02a8f-6573-411c-a30c-6d9bcee12605	CraftScrollAdvancement	CraftingRecipeSO
CraftScrollDevelopment	b15690ab-828c-42b9-ad69-70f169a45961	CraftScrollDevelopment	CraftingRecipeSO
CraftScrollEcho	008ccaa9-da26-4b55-95a5-5bc5df9c62f0	CraftScrollEcho	CraftingRecipeSO
CraftScrollExcellence	6c5c36ea-4736-46d2-b961-6227d4cce5d3	CraftScrollExcellence	CraftingRecipeSO
CraftScrollLearning	49da8d21-0f6a-492e-bd9a-15531b1737d5	CraftScrollLearning	CraftingRecipeSO
CraftScrollPower	9c0a2b96-45fa-4aca-83ba-8efad8895608	CraftScrollPower	CraftingRecipeSO
Dismantle	7b89d22c-75ae-4945-9356-833382c9a167	Dismantle	AlchemyTypeSO
EnchantAdvancement	0796ee25-e1f6-4c5c-abba-aad46e02318b	EnchantAdvancement	EnchantmentSO
EnchantDevelopment	cb354ece-fd8c-4ffc-a67e-b24cc3fe5fa5	EnchantDevelopment	EnchantmentSO
EnchantEcho	d854b177-865f-45ee-97a3-23d904df1ba1	EnchantEcho	EnchantmentSO
EnchantExcellence	7b17670e-b3b6-401f-83f7-9c0e6d157852	EnchantExcellence	EnchantmentSO
EnchantInvestment	f75cea6e-5d21-439f-bce4-79199b22434d	EnchantInvestment	EnchantmentSO
